10171,5,14457
40553,13,40472
32130,8,28371
6885,15,33841
11628,15,37830
5293,10,16874
12846,5,20677
36210,15,40289
28244,5,796
20297,15,4818
20851,5,21040
4342,13,2456
29807,5,5622
21519,5,30610
26190,13,25706
1422,5,20366
34904,5,27765
31558,5,6445
17917,13,17789
36888,15,12455
35104,13,18721
39138,12,15822
19730,5,25610
4218,13,38216
39071,5,39352
1945,13,36867
35410,13,33625
9914,7,10940
31433,5,31665
7264,5,13017
7510,7,7715
9394,15,15921
12541,5,13649
19228,2,26070
16143,13,12304
842,13,9943
32987,15,24783
19284,15,10874
40103,15,15853
28862,15,24923
3049,5,36259
19896,5,19940
2719,13,39886
9216,13,1711
10249,5,18477
39390,13,31206
6996,15,5717
30402,15,33341
14046,5,27952
5816,5,25639
37962,8,37534
17728,1,17351
17991,5,18061
10462,13,10360
28312,5,32162
26240,5,26471
24916,7,10771
7092,15,28695
3810,15,31148
36005,13,23934
28522,5,24076
20577,3,36006
12293,8,2342
3199,3,11744
27532,5,27971
29378,5,37248
24948,8,24563
24195,15,33875
38094,5,9386
5272,5,3382
39016,8,38976
40305,1,40546
30403,13,8448
16949,17,2559
15262,15,2913
40613,7,106
5876,5,9572
34590,13,29143
35326,13,6212
27784,5,776
12938,14,13003
23172,13,5038
19229,13,19137
7173,5,39207
11534,13,10971
16820,15,19778
11687,13,34130
11839,15,18898
32866,8,30870
32451,15,40666
33949,5,28022
12319,8,12232
26997,5,22758
17589,15,3
23212,5,23419
9033,13,8724
22997,15,24514
32923,5,32612
8483,5,17463
19358,5,20095
10656,9,5371
15661,13,24812
12795,3,33784
18612,15,15022
31066,15,20838
31452,14,31108
25131,15,34831
16444,2,36485
29824,15,35113
9081,13,32495
17786,10,1591
33401,15,13192
40290,13,23551
1107,3,9734
583,13,779
35821,5,34826
31633,17,23100
12208,5,6528
14385,8,14243
18150,13,17701
5346,11,38096
29625,5,30183
18553,12,38318
31243,14,17703
38849,13,36186
7458,15,36912
7889,15,15847
22306,15,27685
29930,13,14144
17105,15,35758
33992,1,33905
12536,5,10477
796,13,28244
32478,13,19778
4576,15,9481
21677,13,21524
9549,1,9272
33706,15,6630
29144,13,3556
17824,5,29462
11491,15,7644
11161,5,39651
37788,15,11278
32999,8,32163
34750,15,26387
7779,5,8502
30458,13,30242
2308,15,1866
3887,17,22633
15791,8,15692
40118,15,3112
9317,5,11569
8880,15,2813
40250,13,38879
8420,15,15580
37611,7,37694
35466,5,33212
1768,13,14058
35544,15,22673
26602,1,32955
10953,5,11059
37584,15,16473
11904,8,11827
1868,13,1694
18753,5,19397
5547,5,29667
28920,13,24228
4488,14,34039
7256,15,21798
12846,5,11728
26890,13,25669
20029,8,19981
18123,8,22277
4676,12,27455
23770,5,24059
35096,15,5992
10761,13,30557
10712,13,5033
29563,15,10528
39962,8,39921
23365,15,6341
25815,17,27472
21935,13,21585
34525,15,4878
21373,8,21328
23518,5,23929
40447,8,40337
6343,5,8512
33700,5,33975
20711,13,18382
19242,5,19338
8493,1,15685
26285,1,28525
17222,13,11738
33519,12,13572
22633,2,5246
31857,7,31892
29078,5,29266
37898,13,37526
14273,13,1645
27637,1,18555
38059,5,1162
19133,13,29629
34538,17,21756
30041,15,8827
34551,13,9943
39932,13,20465
13217,5,19807
15968,1,21400
14114,13,39409
27999,17,6796
14223,5,8094
35423,5,35598
11579,5,15853
7117,5,33515
10163,5,10062
12375,13,11885
24867,7,24907
18243,5,18445
23002,15,15958
37102,13,1422
28694,13,12495
6804,15,18352
923,15,28602
33948,10,25700
7872,7,5513
213,15,19288
13355,13,13299
20011,13,9317
32695,13,822
13192,13,38657
19411,15,31052
37092,14,40154
32626,15,6017
26690,15,31690
23998,13,12846
23996,5,32730
12567,13,11519
11516,13,28600
31106,3,6792
27249,13,7057
1821,17,20361
11144,5,30234
6208,13,5943
1591,3,4401
14425,17,4822
17849,13,15936
20584,15,32063
31692,13,17258
30341,13,29956
16444,2,4490
34174,5,29544
18721,5,35214
22114,13,19358
33502,13,33353
5330,15,36050
6357,13,32231
18545,1,27546
50,15,25276
37899,5,2348
10179,5,337
36479,13,10829
31697,13,8909
29504,15,13099
10971,5,12093
8070,5,38437
38094,5,17472
19211,5,1158
17173,5,18932
2382,13,22420
29107,1,12079
9317,5,30092
28811,2,22287
18992,13,23636
34350,5,5322
505,15,20211
21802,15,33311
14569,13,14100
18968,15,1254
23540,5,23616
39409,5,31474
22058,5,18792
6200,13,33981
28055,5,28233
34974,16,9358
38784,15,25112
9225,15,40413
8114,15,25320
28259,13,28158
34294,15,15580
27462,13,6052
19725,13,19536
23564,13,23469
9080,15,39390
21285,13,22533
35343,2,20285
9533,15,4576
13271,13,31767
22623,13,19555
11023,5,34479
13577,15,40025
12495,5,1592
7557,7,8623
17912,13,17863
24305,15,27811
30723,8,30677
33207,5,38881
18945,13,11739
34515,13,34462
24731,8,24550
34657,13,27148
9369,5,9421
5562,5,6921
35809,8,16232
13398,5,14375
5229,5,7942
23444,13,34457
40573,15,29417
30676,15,12315
18355,5,18644
18272,15,9388
12054,15,40449
2367,15,5521
22633,2,29020
18347,13,17838
20114,13,19988
29888,15,719
31893,0,28202
17642,15,795
22921,5,37854
37059,13,36918
20050,5,27450
12932,13,12592
23156,15,13182
4369,12,25091
7058,15,37358
23921,13,6918
35779,3,5047
2794,15,2343
5190,15,5719
12996,8,12339
22853,13,22410
14666,15,39082
18467,14,19655
29714,8,29454
11848,7,11907
23832,13,27343
8646,13,8185
11752,15,16464
8677,13,8568
4129,5,5012
2280,13,23376
24536,15,1951
8882,13,7433
8736,13,12372
35156,8,35030
21235,13,18060
13329,14,28211
28530,8,19618
30835,8,30735
39130,5,39892
20051,13,19877
5474,5,5822
20840,15,8163
14033,14,434
31233,12,28859
18751,13,17650
25903,13,25695
169,14,1983
17378,15,9676
38185,13,30690
1591,3,37496
16758,8,16699
35772,5,36012
11640,15,23095
31699,7,32585
332,15,247
2476,5,3816
6807,12,23924
7800,15,2617
11139,14,8385
28019,15,31912
24366,15,26148
10971,5,12271
35576,13,35530
26338,5,26439
11353,5,13921
16435,14,16039
22382,13,12766
33649,5,33686
18581,1,2659
10327,5,4507
21633,15,8589
23276,15,18508
33639,10,20577
37997,15,28869
13657,13,7618
17451,13,17204
17696,15,35381
32716,5,19658
12799,15,13799
19938,15,2627
795,5,865
10498,14,31412
1591,3,40677
6709,5,6945
36488,13,35974
35427,13,35330
25928,15,8879
40481,15,1468
309,8,222
12303,1,12438
19555,5,3281
1591,3,11595
16822,13,19174
22665,13,22077
34561,13,30863
20393,15,21181
39305,15,11144
23010,1,22426
934,15,32386
38060,5,19115
2996,17,37136
6574,5,35436
25989,7,5843
23705,5,24155
12414,15,23262
38373,7,38412
31615,15,8052
39248,15,24783
39769,13,39346
16444,2,1502
8540,13,37993
19414,15,10268
34424,5,34728
40295,17,1051
36293,13,5316
21492,5,21781
5440,13,12292
40683,15,31793
40721,15,9742
6152,5,9973
1834,13,1196
8076,8,7964
37135,6,36863
1670,5,2391
26711,13,24147
4814,5,6267
11416,13,11291
14595,8,14549
40662,14,7796
16497,15,26228
35676,5,38142
25364,15,37419
19372,15,17219
5781,15,21156
37548,5,34340
33709,14,33810
2204,5,19527
18352,13,16733
36362,8,36252
37223,13,37088
15976,14,16133
8274,5,3804
37553,5,8302
15927,10,4083
38626,7,38709
38513,15,34293
7081,15,24790
31574,5,3673
38294,7,38353
13112,13,2167
14046,15,33093
39501,5,36862
20547,15,31422
15020,5,16198
19358,5,20353
7192,15,29926
14058,5,16792
39046,7,39933
11163,5,11350
11907,5,12060
2042,8,1863
10899,7,10983
24996,15,21547
154,12,39215
19988,5,20114
32964,3,6362
39879,8,39806
40348,15,3691
12897,13,12828
22525,1,21275
7309,10,18593
14362,3,37382
24588,15,12655
21976,7,22018
13245,13,9317
21279,17,22633
25464,7,25504
29640,13,18060
34290,15,3647
33902,5,37952
7931,5,8513
33828,15,31319
20037,13,2416
27316,13,3513
2416,5,9982
32823,13,2288
39779,13,19556
29478,15,22774
3513,5,31787
11267,14,12206
27133,13,29143
13627,13,15936
2149,13,20197
34968,15,23136
25118,8,25008
5781,5,6525
34698,12,32390
17723,15,34377
1591,3,5519
16518,13,6928
35367,15,33161
40742,15,11722
18060,5,12416
11663,5,1885
37019,7,37819
22633,2,441
36364,11,6403
25729,15,11391
34046,5,37501
4754,5,4962
4668,13,4395
13362,15,4259
38559,15,2869
16421,5,8624
16444,2,883
1940,5,34450
22149,15,39652
22439,13,20078
22509,15,22216
38059,5,35687
20514,15,28165
26915,15,25650
29240,5,29709
9778,5,10220
38090,8,38035
39615,15,8937
40766,5,1267
39395,15,7801
36594,8,36059
19575,15,10163
9278,5,9362
24653,15,9448
34516,17,15220
25688,5,38712
5740,13,5137
24745,13,24570
38533,13,3513
37603,8,37521
21629,13,8592
7879,13,12846
25378,13,25236
27389,13,10810
2563,13,9317
24812,5,39364
11318,2,8912
40072,9,13349
27377,13,27172
28529,0,24442
17192,8,17147
11741,0,40662
12837,12,8852
1956,7,8699
10548,15,9226
10689,8,34089
25162,1,24674
7268,13,14058
35795,13,32746
25009,13,23482
11551,5,11644
21079,10,1591
2233,13,2026
37592,10,1591
5049,13,15029
2500,13,2436
10609,13,15668
17471,15,16780
15046,5,15113
22680,15,38291
18536,6,18437
33090,13,32534
29045,14,29174
24224,13,16777
39379,15,34398
4309,13,3225
126,13,739
31832,13,5536
32049,5,12668
9831,13,30821
2416,5,23362
7801,15,39395
17891,15,8776
6685,13,22759
12598,5,12656
1642,5,775
18636,13,19331
2121,15,4029
10704,10,10435
34701,14,21996
198,5,20746
2642,17,22633
16472,10,14848
14013,10,32964
5142,8,15796
16638,15,30390
29173,3,4877
10023,15,14469
21943,5,22333
9787,3,23708
33463,5,5033
5349,5,35707
13341,13,27362
3747,5,4053
18314,5,40697
27045,13,2416
12437,7,12486
20409,5,26877
36151,13,36241
32665,5,20921
8370,13,8010
40271,13,40069
7228,5,7160
38883,15,31999
27961,15,38038
29626,15,24153
22790,15,1836
40203,15,27858
26430,13,26241
6229,15,8298
40344,5,40594
7077,17,32665
21009,13,20846
17121,15,38678
10695,13,9771
8583,8,7469
15574,13,2416
29498,5,29654
2416,5,6274
37517,15,25364
40590,13,20064
6356,5,8658
34250,1,19061
30146,5,21259
24442,11,37981
489,7,668
34383,3,5888
3017,15,5434
26008,13,13509
20661,15,21202
12356,1,10366
26690,5,36365
11747,8,24988
9943,5,5447
10342,13,154
39644,13,38879
14777,13,13951
10668,14,23839
35674,15,12854
34405,13,25419
16006,15,5855
4042,15,8725
39936,5,453
38429,15,30777
30461,10,16874
5446,15,37394
12305,8,11892
24222,15,8334
28350,5,35504
36029,10,32964
19290,17,22633
37326,0,24442
5034,15,15461
1542,15,8938
21621,15,15260
11020,13,9943
19514,7,24114
34176,17,17163
35779,3,6355
14414,15,33776
22063,13,29446
17818,15,15645
2198,13,16212
2456,15,9991
35616,14,21567
33012,5,18766
3320,14,4011
17918,3,15027
34876,15,27172
10327,5,11560
26216,5,22936
310,13,159
18180,13,34384
38739,7,38785
7594,12,19785
40666,15,32451
10542,4,10482
19308,13,19112
34324,1,17018
18718,12,21613
4006,7,4057
27283,5,27641
1916,17,19228
24236,5,7547
18977,17,8032
31594,8,16016
19140,13,1497
16150,13,12504
38233,13,40133
34295,5,33041
18498,15,2898
22867,13,22705
8970,5,10759
18932,5,19175
34065,13,17073
294,5,14192
15431,15,15376
39409,5,37629
1115,15,6330
13033,15,8919
7256,13,20390
34078,5,34141
33437,13,38059
9216,8,9065
23518,13,2749
12308,14,13626
32520,5,497
25643,13,20814
2501,1,40650
15263,7,15321
392,13,1500
39267,7,366
28600,13,27983
22153,8,22100
5478,13,5296
40618,13,40509
20723,14,397
30447,13,29467
23233,15,36739
7057,5,18205
12703,13,1711
13727,1,10162
13093,2,18392
39640,5,2959
4352,1,2747
20950,10,21332
5535,5,31555
19054,5,22723
33570,5,19106
16970,15,28399
11886,5,12177
22633,13,25489
1849,17,16444
17631,10,35779
3692,1,22593
34720,13,33549
26063,8,26022
36549,14,36792
29855,8,29713
3891,15,28791
40072,9,32131
1327,15,15726
19512,15,20673
37079,13,19135
18091,13,18000
16400,8,14969
26008,5,17291
17675,13,39409
11168,15,20872
4395,13,4190
24528,8,24318
14337,5,28132
28302,13,12246
8798,5,9191
38012,15,27310
